"peaks_file_top1000.chr"	"peaks_file_top1000.abs_summit...peak_size_for_MEME"	"peaks_file_top1000.abs_summit...peak_size_for_MEME.1"	"peaks_file_top1000.name"
"386"	"chr18"	82804715	82805115	"CMP_KDctrl_peak_5304"
"387"	"chr1"	89991337	89991737	"CMP_KDctrl_peak_304"
"388"	"chr3"	100489449	100489849	"CMP_KDctrl_peak_6874"
"389"	"chrX"	7673573	7673973	"CMP_KDctrl_peak_10959"
"390"	"chr8"	97227031	97227431	"CMP_KDctrl_peak_10166"
"391"	"chr19"	43749431	43749831	"CMP_KDctrl_peak_5554"
"392"	"chr4"	61944211	61944611	"CMP_KDctrl_peak_7343"
"393"	"chr7"	53178598	53178998	"CMP_KDctrl_peak_9330"
"394"	"chr12"	94122109	94122509	"CMP_KDctrl_peak_2605"
"395"	"chr16"	13671993	13672393	"CMP_KDctrl_peak_4174"
"396"	"chr4"	132725959	132726359	"CMP_KDctrl_peak_7638"
"397"	"chr2"	83465769	83466169	"CMP_KDctrl_peak_5982"
"398"	"chr9"	22750030	22750430	"CMP_KDctrl_peak_10453"
"399"	"chr3"	38100950	38101350	"CMP_KDctrl_peak_6594"
"400"	"chr13"	24892788	24893188	"CMP_KDctrl_peak_2865"
"401"	"chr16"	58017377	58017777	"CMP_KDctrl_peak_4366"
"402"	"chr11"	106280830	106281230	"CMP_KDctrl_peak_2179"
"403"	"chr7"	75428565	75428965	"CMP_KDctrl_peak_9410"
"404"	"chr4"	139178585	139178985	"CMP_KDctrl_peak_7708"
"405"	"chr1"	140753172	140753572	"CMP_KDctrl_peak_537"
"406"	"chr10"	67011703	67012103	"CMP_KDctrl_peak_1149"
"407"	"chr11"	113612407	113612807	"CMP_KDctrl_peak_2224"
"408"	"chr16"	87612675	87613075	"CMP_KDctrl_peak_4410"
"409"	"chr14"	8912855	8913255	"CMP_KDctrl_peak_3292"
"410"	"chr4"	54141734	54142134	"CMP_KDctrl_peak_7309"
"411"	"chr12"	99795240	99795640	"CMP_KDctrl_peak_2611"
"412"	"chr3"	51456665	51457065	"CMP_KDctrl_peak_6625"
"413"	"chr7"	135019188	135019588	"CMP_KDctrl_peak_9720"
"414"	"chr7"	50799771	50800171	"CMP_KDctrl_peak_9292"
"415"	"chr1"	179190915	179191315	"CMP_KDctrl_peak_771"
"416"	"chr4"	4720078	4720478	"CMP_KDctrl_peak_7163"
"417"	"chr17"	57474725	57475125	"CMP_KDctrl_peak_4871"
"418"	"chr3"	88489395	88489795	"CMP_KDctrl_peak_6778"
"419"	"chr14"	56724224	56724624	"CMP_KDctrl_peak_3478"
"420"	"chr18"	62384590	62384990	"CMP_KDctrl_peak_5219"
"421"	"chrX"	102260001	102260401	"CMP_KDctrl_peak_11084"
"422"	"chr1"	9763141	9763541	"CMP_KDctrl_peak_8"
"423"	"chr9"	90008821	90009221	"CMP_KDctrl_peak_10759"
"424"	"chr19"	6363504	6363904	"CMP_KDctrl_peak_5380"
"425"	"chr18"	7456843	7457243	"CMP_KDctrl_peak_5065"
"426"	"chr11"	106873664	106874064	"CMP_KDctrl_peak_2189"
"427"	"chr4"	114655423	114655823	"CMP_KDctrl_peak_7483"
"428"	"chr12"	87165465	87165865	"CMP_KDctrl_peak_2581"
"429"	"chr1"	58772956	58773356	"CMP_KDctrl_peak_162"
"430"	"chr9"	63698064	63698464	"CMP_KDctrl_peak_10648"
"431"	"chr6"	89371845	89372245	"CMP_KDctrl_peak_8804"
"432"	"chr12"	93722266	93722666	"CMP_KDctrl_peak_2604"
"433"	"chr17"	63351453	63351853	"CMP_KDctrl_peak_4874"
"434"	"chr3"	107902663	107903063	"CMP_KDctrl_peak_6931"
"435"	"chr12"	16901228	16901628	"CMP_KDctrl_peak_2353"
"436"	"chr14"	33316010	33316410	"CMP_KDctrl_peak_3395"
"437"	"chr9"	111124074	111124474	"CMP_KDctrl_peak_10872"
"438"	"chr1"	58769037	58769437	"CMP_KDctrl_peak_161"
"439"	"chr2"	147003679	147004079	"CMP_KDctrl_peak_6270"
"440"	"chr2"	181315991	181316391	"CMP_KDctrl_peak_6489"
"441"	"chr5"	77889282	77889682	"CMP_KDctrl_peak_8073"
"442"	"chr2"	19293259	19293659	"CMP_KDctrl_peak_5705"
"443"	"chr4"	59049616	59050016	"CMP_KDctrl_peak_7328"
"444"	"chr17"	5303014	5303414	"CMP_KDctrl_peak_4514"
"445"	"chr1"	184054745	184055145	"CMP_KDctrl_peak_828"
"446"	"chr10"	110571759	110572159	"CMP_KDctrl_peak_1398"
"447"	"chr4"	40716324	40716724	"CMP_KDctrl_peak_7229"
"448"	"chr11"	87284941	87285341	"CMP_KDctrl_peak_2026"
"449"	"chr14"	65732431	65732831	"CMP_KDctrl_peak_3537"
"450"	"chr6"	121141546	121141946	"CMP_KDctrl_peak_8938"
"451"	"chr3"	137806470	137806870	"CMP_KDctrl_peak_7077"
"452"	"chr1"	163125835	163126235	"CMP_KDctrl_peak_644"
"453"	"chr15"	102235981	102236381	"CMP_KDctrl_peak_4123"
"454"	"chr7"	25184578	25184978	"CMP_KDctrl_peak_9196"
"455"	"chr13"	5777806	5778206	"CMP_KDctrl_peak_2757"
"456"	"chr6"	123045397	123045797	"CMP_KDctrl_peak_8948"
"457"	"chr2"	28257535	28257935	"CMP_KDctrl_peak_5762"
"458"	"chr2"	166897396	166897796	"CMP_KDctrl_peak_6413"
"459"	"chr17"	15178199	15178599	"CMP_KDctrl_peak_4565"
"460"	"chr3"	60331827	60332227	"CMP_KDctrl_peak_6676"
"461"	"chr17"	8138341	8138741	"CMP_KDctrl_peak_4539"
"462"	"chr11"	87562618	87563018	"CMP_KDctrl_peak_2029"
"463"	"chr7"	139508601	139509001	"CMP_KDctrl_peak_9750"
"464"	"chr18"	35114052	35114452	"CMP_KDctrl_peak_5127"
"465"	"chr19"	6118291	6118691	"CMP_KDctrl_peak_5376"
"466"	"chr10"	17954843	17955243	"CMP_KDctrl_peak_951"
"467"	"chr10"	61912515	61912915	"CMP_KDctrl_peak_1125"
"468"	"chr2"	83834023	83834423	"CMP_KDctrl_peak_5984"
"469"	"chr4"	115500679	115501079	"CMP_KDctrl_peak_7488"
"470"	"chr16"	27376674	27377074	"CMP_KDctrl_peak_4256"
"471"	"chr17"	8388555	8388955	"CMP_KDctrl_peak_4541"
"472"	"chr16"	90199369	90199769	"CMP_KDctrl_peak_4423"
"473"	"chr6"	138088538	138088938	"CMP_KDctrl_peak_9065"
"474"	"chr11"	74537436	74537836	"CMP_KDctrl_peak_1905"
"475"	"chr1"	186556638	186557038	"CMP_KDctrl_peak_846"
"476"	"chr19"	53268642	53269042	"CMP_KDctrl_peak_5598"
"477"	"chr3"	95021506	95021906	"CMP_KDctrl_peak_6820"
"478"	"chr13"	67914763	67915163	"CMP_KDctrl_peak_3089"
"479"	"chr6"	135273590	135273990	"CMP_KDctrl_peak_9040"
"480"	"chr2"	11316324	11316724	"CMP_KDctrl_peak_5666"
"481"	"chr12"	31786148	31786548	"CMP_KDctrl_peak_2382"
"482"	"chr9"	44356769	44357169	"CMP_KDctrl_peak_10504"
"483"	"chr17"	36272378	36272778	"CMP_KDctrl_peak_4736"
"484"	"chr1"	80448577	80448977	"CMP_KDctrl_peak_245"
"485"	"chr6"	71093941	71094341	"CMP_KDctrl_peak_8722"
"486"	"chr11"	113510843	113511243	"CMP_KDctrl_peak_2219"
"487"	"chr7"	148358336	148358736	"CMP_KDctrl_peak_9810"
"488"	"chr1"	138091099	138091499	"CMP_KDctrl_peak_519"
"489"	"chr13"	19311490	19311890	"CMP_KDctrl_peak_2789"
"490"	"chr16"	93586277	93586677	"CMP_KDctrl_peak_4460"
"491"	"chr3"	51163007	51163407	"CMP_KDctrl_peak_6618"
"492"	"chr5"	138042074	138042474	"CMP_KDctrl_peak_8381"
"493"	"chr5"	110536744	110537144	"CMP_KDctrl_peak_8185"
"494"	"chr18"	89035889	89036289	"CMP_KDctrl_peak_5324"
"495"	"chrX"	73009609	73010009	"CMP_KDctrl_peak_11049"
"496"	"chr17"	85249785	85250185	"CMP_KDctrl_peak_5002"
"497"	"chr10"	9627671	9628071	"CMP_KDctrl_peak_916"
"498"	"chr1"	94967915	94968315	"CMP_KDctrl_peak_356"
"499"	"chr6"	129566136	129566536	"CMP_KDctrl_peak_9018"
"500"	"chr8"	120022189	120022589	"CMP_KDctrl_peak_10284"
"501"	"chr19"	10763287	10763687	"CMP_KDctrl_peak_5420"
"502"	"chr1"	75121371	75121771	"CMP_KDctrl_peak_222"
"503"	"chr9"	69837146	69837546	"CMP_KDctrl_peak_10685"
"504"	"chr15"	96473231	96473631	"CMP_KDctrl_peak_4066"
"505"	"chr13"	108663332	108663732	"CMP_KDctrl_peak_3213"
"506"	"chr12"	81744733	81745133	"CMP_KDctrl_peak_2548"
"507"	"chr8"	25705829	25706229	"CMP_KDctrl_peak_9940"
"508"	"chr6"	12075335	12075735	"CMP_KDctrl_peak_8526"
"509"	"chr14"	47973761	47974161	"CMP_KDctrl_peak_3426"
"510"	"chr15"	59312592	59312992	"CMP_KDctrl_peak_3877"
"511"	"chr8"	46430121	46430521	"CMP_KDctrl_peak_10001"
"512"	"chr2"	152052329	152052729	"CMP_KDctrl_peak_6289"
"513"	"chr12"	55797387	55797787	"CMP_KDctrl_peak_2449"
"514"	"chr13"	65213887	65214287	"CMP_KDctrl_peak_3083"
"515"	"chr10"	17204938	17205338	"CMP_KDctrl_peak_939"
"516"	"chr12"	36396346	36396746	"CMP_KDctrl_peak_2413"
"517"	"chr6"	136913091	136913491	"CMP_KDctrl_peak_9053"
"518"	"chr1"	87960992	87961392	"CMP_KDctrl_peak_276"
"519"	"chr13"	37439942	37440342	"CMP_KDctrl_peak_2915"
"520"	"chr7"	125259423	125259823	"CMP_KDctrl_peak_9637"
"521"	"chr11"	53577087	53577487	"CMP_KDctrl_peak_1738"
"522"	"chr2"	64939380	64939780	"CMP_KDctrl_peak_5906"
"523"	"chr13"	60581392	60581792	"CMP_KDctrl_peak_3066"
"524"	"chr6"	97779276	97779676	"CMP_KDctrl_peak_8833"
"525"	"chr19"	12870426	12870826	"CMP_KDctrl_peak_5441"
"526"	"chr3"	120994542	120994942	"CMP_KDctrl_peak_6972"
"527"	"chr9"	103523090	103523490	"CMP_KDctrl_peak_10805"
"528"	"chr5"	31190951	31191351	"CMP_KDctrl_peak_7926"
"529"	"chr1"	94999242	94999642	"CMP_KDctrl_peak_358"
"530"	"chr14"	58331674	58332074	"CMP_KDctrl_peak_3492"
"531"	"chr5"	112754160	112754560	"CMP_KDctrl_peak_8192"
"532"	"chr7"	52317620	52318020	"CMP_KDctrl_peak_9313"
"533"	"chr6"	113342437	113342837	"CMP_KDctrl_peak_8877"
"534"	"chr1"	16678332	16678732	"CMP_KDctrl_peak_32"
"535"	"chr6"	51419897	51420297	"CMP_KDctrl_peak_8671"
"536"	"chr10"	117522200	117522600	"CMP_KDctrl_peak_1440"
"537"	"chr5"	144250423	144250823	"CMP_KDctrl_peak_8434"
"538"	"chr17"	21754362	21754762	"CMP_KDctrl_peak_4583"
"539"	"chr1"	88240948	88241348	"CMP_KDctrl_peak_283"
"540"	"chr11"	79436571	79436971	"CMP_KDctrl_peak_1976"
"541"	"chr11"	118945031	118945431	"CMP_KDctrl_peak_2271"
"542"	"chr7"	25760127	25760527	"CMP_KDctrl_peak_9205"
"543"	"chr7"	52109945	52110345	"CMP_KDctrl_peak_9309"
"544"	"chr11"	119251449	119251849	"CMP_KDctrl_peak_2276"
"545"	"chr1"	95700357	95700757	"CMP_KDctrl_peak_369"
"546"	"chr10"	122200081	122200481	"CMP_KDctrl_peak_1482"
"547"	"chr17"	66079589	66079989	"CMP_KDctrl_peak_4886"
"548"	"chr10"	80639229	80639629	"CMP_KDctrl_peak_1264"
"549"	"chr11"	48864948	48865348	"CMP_KDctrl_peak_1703"
"550"	"chr6"	129457111	129457511	"CMP_KDctrl_peak_9015"
"551"	"chr4"	120242492	120242892	"CMP_KDctrl_peak_7533"
"552"	"chr1"	127323189	127323589	"CMP_KDctrl_peak_418"
"553"	"chrX"	161278276	161278676	"CMP_KDctrl_peak_11154"
"554"	"chr13"	60839429	60839829	"CMP_KDctrl_peak_3067"
"555"	"chr9"	115145333	115145733	"CMP_KDctrl_peak_10895"
"556"	"chr14"	66598475	66598875	"CMP_KDctrl_peak_3542"
"557"	"chr19"	60656149	60656549	"CMP_KDctrl_peak_5621"
"558"	"chr10"	20866221	20866621	"CMP_KDctrl_peak_983"
"559"	"chr16"	93938528	93938928	"CMP_KDctrl_peak_4465"
"560"	"chr2"	177812950	177813350	"CMP_KDctrl_peak_6468"
"561"	"chr1"	168309813	168310213	"CMP_KDctrl_peak_677"
"562"	"chr9"	42122485	42122885	"CMP_KDctrl_peak_10492"
"563"	"chr7"	26539843	26540243	"CMP_KDctrl_peak_9221"
"564"	"chr3"	102519122	102519522	"CMP_KDctrl_peak_6887"
"565"	"chr11"	85166094	85166494	"CMP_KDctrl_peak_2015"
"566"	"chr13"	81024796	81025196	"CMP_KDctrl_peak_3114"
"567"	"chr16"	24193557	24193957	"CMP_KDctrl_peak_4243"
"568"	"chr1"	172994534	172994934	"CMP_KDctrl_peak_708"
"569"	"chr7"	148067810	148068210	"CMP_KDctrl_peak_9800"
"570"	"chr3"	148652493	148652893	"CMP_KDctrl_peak_7117"
"571"	"chr16"	92641339	92641739	"CMP_KDctrl_peak_4451"
"572"	"chr1"	72283346	72283746	"CMP_KDctrl_peak_206"
"573"	"chr6"	55226695	55227095	"CMP_KDctrl_peak_8696"
"574"	"chr8"	23918642	23919042	"CMP_KDctrl_peak_9936"
"575"	"chr14"	57537417	57537817	"CMP_KDctrl_peak_3484"
"576"	"chr9"	65049450	65049850	"CMP_KDctrl_peak_10658"
"577"	"chr13"	34056552	34056952	"CMP_KDctrl_peak_2894"
"578"	"chr5"	123271009	123271409	"CMP_KDctrl_peak_8288"
"579"	"chr19"	41337942	41338342	"CMP_KDctrl_peak_5538"
"580"	"chr12"	102223555	102223955	"CMP_KDctrl_peak_2639"
"581"	"chr1"	159365727	159366127	"CMP_KDctrl_peak_628"
"582"	"chr17"	5690738	5691138	"CMP_KDctrl_peak_4519"
"583"	"chr4"	87681170	87681570	"CMP_KDctrl_peak_7378"
"584"	"chr5"	121901245	121901645	"CMP_KDctrl_peak_8266"
"585"	"chr7"	152215461	152215861	"CMP_KDctrl_peak_9855"
"586"	"chr16"	16856883	16857283	"CMP_KDctrl_peak_4188"
"587"	"chr11"	75847173	75847573	"CMP_KDctrl_peak_1934"
"588"	"chr6"	124867406	124867806	"CMP_KDctrl_peak_8965"
"589"	"chr11"	98902666	98903066	"CMP_KDctrl_peak_2119"
"590"	"chr15"	38403204	38403604	"CMP_KDctrl_peak_3814"
"591"	"chr12"	100470701	100471101	"CMP_KDctrl_peak_2616"
"592"	"chr2"	126346051	126346451	"CMP_KDctrl_peak_6139"
"593"	"chr16"	84583718	84584118	"CMP_KDctrl_peak_4402"
"594"	"chr8"	72758173	72758573	"CMP_KDctrl_peak_10052"
"595"	"chr11"	16537949	16538349	"CMP_KDctrl_peak_1594"
"596"	"chr4"	43038278	43038678	"CMP_KDctrl_peak_7252"
"597"	"chr2"	34627297	34627697	"CMP_KDctrl_peak_5809"
"598"	"chr5"	102498637	102499037	"CMP_KDctrl_peak_8130"
"599"	"chr19"	24551683	24552083	"CMP_KDctrl_peak_5479"
"600"	"chr7"	27951553	27951953	"CMP_KDctrl_peak_9223"
"601"	"chr9"	52095475	52095875	"CMP_KDctrl_peak_10567"
"602"	"chr17"	35373045	35373445	"CMP_KDctrl_peak_4719"
"603"	"chr13"	110020441	110020841	"CMP_KDctrl_peak_3224"
"604"	"chr14"	122337826	122338226	"CMP_KDctrl_peak_3731"
"605"	"chr7"	13594940	13595340	"CMP_KDctrl_peak_9144"
"606"	"chr8"	14873582	14873982	"CMP_KDctrl_peak_9915"
"607"	"chr11"	48630615	48631015	"CMP_KDctrl_peak_1694"
"608"	"chr4"	53726758	53727158	"CMP_KDctrl_peak_7306"
"609"	"chr2"	101606855	101607255	"CMP_KDctrl_peak_6030"
"610"	"chr4"	32335862	32336262	"CMP_KDctrl_peak_7214"
"611"	"chr18"	38409741	38410141	"CMP_KDctrl_peak_5149"
"612"	"chr13"	23848712	23849112	"CMP_KDctrl_peak_2852"
"613"	"chr7"	134851687	134852087	"CMP_KDctrl_peak_9714"
"614"	"chr9"	89883585	89883985	"CMP_KDctrl_peak_10758"
"615"	"chr7"	82844701	82845101	"CMP_KDctrl_peak_9433"
"616"	"chr6"	39551508	39551908	"CMP_KDctrl_peak_8629"
"617"	"chr2"	78972301	78972701	"CMP_KDctrl_peak_5971"
"618"	"chr10"	75322555	75322955	"CMP_KDctrl_peak_1188"
"619"	"chr13"	117822516	117822916	"CMP_KDctrl_peak_3279"
"620"	"chr3"	87906618	87907018	"CMP_KDctrl_peak_6768"
"621"	"chr9"	40878794	40879194	"CMP_KDctrl_peak_10484"
"622"	"chr6"	29166110	29166510	"CMP_KDctrl_peak_8570"
"623"	"chr3"	147988093	147988493	"CMP_KDctrl_peak_7114"
"624"	"chr8"	74000331	74000731	"CMP_KDctrl_peak_10066"
"625"	"chrX"	12463398	12463798	"CMP_KDctrl_peak_10978"
"626"	"chr14"	103209518	103209918	"CMP_KDctrl_peak_3670"
"627"	"chr1"	175809705	175810105	"CMP_KDctrl_peak_747"
"628"	"chr2"	13495577	13495977	"CMP_KDctrl_peak_5683"
"629"	"chr10"	66589602	66590002	"CMP_KDctrl_peak_1145"
"630"	"chr8"	124997766	124998166	"CMP_KDctrl_peak_10326"
"631"	"chr16"	30587707	30588107	"CMP_KDctrl_peak_4268"
"632"	"chr9"	107215173	107215573	"CMP_KDctrl_peak_10826"
"633"	"chr10"	80568735	80569135	"CMP_KDctrl_peak_1262"
"634"	"chr5"	66497071	66497471	"CMP_KDctrl_peak_8032"
"635"	"chr1"	136316648	136317048	"CMP_KDctrl_peak_497"
"636"	"chr13"	23516229	23516629	"CMP_KDctrl_peak_2826"
"637"	"chr13"	24853279	24853679	"CMP_KDctrl_peak_2864"
"638"	"chr1"	39989166	39989566	"CMP_KDctrl_peak_104"
"639"	"chr11"	104229073	104229473	"CMP_KDctrl_peak_2165"
"640"	"chr10"	116652795	116653195	"CMP_KDctrl_peak_1420"
"641"	"chr3"	108247854	108248254	"CMP_KDctrl_peak_6938"
"642"	"chr11"	102293512	102293912	"CMP_KDctrl_peak_2155"
"643"	"chr14"	70088336	70088736	"CMP_KDctrl_peak_3571"
"644"	"chr4"	46587762	46588162	"CMP_KDctrl_peak_7286"
"645"	"chrX"	7722508	7722908	"CMP_KDctrl_peak_10961"
"646"	"chr7"	55387259	55387659	"CMP_KDctrl_peak_9344"
"647"	"chr7"	125941701	125942101	"CMP_KDctrl_peak_9646"
"648"	"chr17"	22099441	22099841	"CMP_KDctrl_peak_4585"
"649"	"chr4"	126920188	126920588	"CMP_KDctrl_peak_7582"
"650"	"chr4"	59012858	59013258	"CMP_KDctrl_peak_7326"
"651"	"chr19"	29722422	29722822	"CMP_KDctrl_peak_5499"
"652"	"chr17"	44809582	44809982	"CMP_KDctrl_peak_4762"
"653"	"chr11"	62364746	62365146	"CMP_KDctrl_peak_1815"
"654"	"chr8"	131209679	131210079	"CMP_KDctrl_peak_10390"
"655"	"chr7"	86537189	86537589	"CMP_KDctrl_peak_9449"
"656"	"chr15"	66390506	66390906	"CMP_KDctrl_peak_3899"
"657"	"chr3"	98231521	98231921	"CMP_KDctrl_peak_6871"
"658"	"chr4"	88084654	88085054	"CMP_KDctrl_peak_7381"
"659"	"chr5"	32725721	32726121	"CMP_KDctrl_peak_7938"
"660"	"chr14"	55495632	55496032	"CMP_KDctrl_peak_3469"
"661"	"chr10"	120863812	120864212	"CMP_KDctrl_peak_1468"
"662"	"chr2"	160698375	160698775	"CMP_KDctrl_peak_6371"
"663"	"chr2"	43594278	43594678	"CMP_KDctrl_peak_5842"
"664"	"chr12"	79327120	79327520	"CMP_KDctrl_peak_2539"
"665"	"chr19"	10017619	10018019	"CMP_KDctrl_peak_5411"
"666"	"chr2"	105229326	105229726	"CMP_KDctrl_peak_6062"
"667"	"chr1"	59970656	59971056	"CMP_KDctrl_peak_173"
"668"	"chr8"	87549073	87549473	"CMP_KDctrl_peak_10130"
"669"	"chr19"	31411995	31412395	"CMP_KDctrl_peak_5504"
"670"	"chr1"	94622919	94623319	"CMP_KDctrl_peak_343"
"671"	"chr2"	32986380	32986780	"CMP_KDctrl_peak_5801"
"672"	"chr1"	167667884	167668284	"CMP_KDctrl_peak_670"
"673"	"chr2"	50524449	50524849	"CMP_KDctrl_peak_5863"
"674"	"chr19"	41671661	41672061	"CMP_KDctrl_peak_5546"
"675"	"chr6"	29417758	29418158	"CMP_KDctrl_peak_8572"
"676"	"chr7"	135381695	135382095	"CMP_KDctrl_peak_9730"
"677"	"chr4"	141349446	141349846	"CMP_KDctrl_peak_7732"
"678"	"chr8"	126001774	126002174	"CMP_KDctrl_peak_10339"
"679"	"chr16"	34667355	34667755	"CMP_KDctrl_peak_4311"
"680"	"chr6"	115963846	115964246	"CMP_KDctrl_peak_8901"
"681"	"chr10"	39451222	39451622	"CMP_KDctrl_peak_1029"
"682"	"chr2"	27370419	27370819	"CMP_KDctrl_peak_5757"
"683"	"chr7"	135110706	135111106	"CMP_KDctrl_peak_9723"
"684"	"chr5"	107231928	107232328	"CMP_KDctrl_peak_8163"
"685"	"chr17"	21559780	21560180	"CMP_KDctrl_peak_4578"
"686"	"chr4"	107348310	107348710	"CMP_KDctrl_peak_7459"
"687"	"chr9"	61126194	61126594	"CMP_KDctrl_peak_10628"
"688"	"chr6"	138020322	138020722	"CMP_KDctrl_peak_9063"
"689"	"chr13"	69080095	69080495	"CMP_KDctrl_peak_3090"
"690"	"chr7"	88406388	88406788	"CMP_KDctrl_peak_9478"
"691"	"chr1"	52289760	52290160	"CMP_KDctrl_peak_126"
"692"	"chr13"	54789062	54789462	"CMP_KDctrl_peak_3023"
"693"	"chr9"	107578200	107578600	"CMP_KDctrl_peak_10832"
"694"	"chr17"	8564860	8565260	"CMP_KDctrl_peak_4546"
"695"	"chr10"	79447455	79447855	"CMP_KDctrl_peak_1230"
"696"	"chr10"	110910153	110910553	"CMP_KDctrl_peak_1402"
"697"	"chr17"	33766026	33766426	"CMP_KDctrl_peak_4681"
"698"	"chr6"	34812855	34813255	"CMP_KDctrl_peak_8603"
"699"	"chr13"	52157119	52157519	"CMP_KDctrl_peak_3005"
"700"	"chr18"	46675396	46675796	"CMP_KDctrl_peak_5169"
"701"	"chr6"	134114933	134115333	"CMP_KDctrl_peak_9031"
"702"	"chr12"	94130672	94131072	"CMP_KDctrl_peak_2606"
"703"	"chr17"	83980145	83980545	"CMP_KDctrl_peak_4981"
"704"	"chr5"	114649135	114649535	"CMP_KDctrl_peak_8208"
"705"	"chr6"	28822064	28822464	"CMP_KDctrl_peak_8567"
"706"	"chr3"	122093990	122094390	"CMP_KDctrl_peak_6988"
"707"	"chr17"	35226068	35226468	"CMP_KDctrl_peak_4713"
"708"	"chr2"	151820268	151820668	"CMP_KDctrl_peak_6287"
"709"	"chr16"	91044458	91044858	"CMP_KDctrl_peak_4431"
"710"	"chr6"	71582934	71583334	"CMP_KDctrl_peak_8724"
"711"	"chr1"	181447769	181448169	"CMP_KDctrl_peak_793"
"712"	"chr10"	79711874	79712274	"CMP_KDctrl_peak_1242"
"713"	"chr9"	64026963	64027363	"CMP_KDctrl_peak_10650"
"714"	"chr6"	72462459	72462859	"CMP_KDctrl_peak_8739"
"715"	"chr9"	110207467	110207867	"CMP_KDctrl_peak_10859"
"716"	"chr1"	87441174	87441574	"CMP_KDctrl_peak_264"
"717"	"chr11"	43342212	43342612	"CMP_KDctrl_peak_1679"
"718"	"chr17"	5327699	5328099	"CMP_KDctrl_peak_4515"
"719"	"chr9"	7774599	7774999	"CMP_KDctrl_peak_10401"
"720"	"chr3"	83843824	83844224	"CMP_KDctrl_peak_6735"
"721"	"chr7"	106683501	106683901	"CMP_KDctrl_peak_9534"
"722"	"chr15"	89204103	89204503	"CMP_KDctrl_peak_4045"
"723"	"chr14"	121745670	121746070	"CMP_KDctrl_peak_3719"
"724"	"chr13"	21325877	21326277	"CMP_KDctrl_peak_2807"
"725"	"chr6"	115847120	115847520	"CMP_KDctrl_peak_8898"
"726"	"chr7"	17477074	17477474	"CMP_KDctrl_peak_9157"
"727"	"chr17"	22498334	22498734	"CMP_KDctrl_peak_4586"
"728"	"chr2"	11254701	11255101	"CMP_KDctrl_peak_5665"
"729"	"chr2"	13977103	13977503	"CMP_KDctrl_peak_5686"
"730"	"chr1"	130313648	130314048	"CMP_KDctrl_peak_429"
"731"	"chr5"	140894758	140895158	"CMP_KDctrl_peak_8409"
"732"	"chr8"	28152957	28153357	"CMP_KDctrl_peak_9956"
"733"	"chr10"	127740227	127740627	"CMP_KDctrl_peak_1512"
"734"	"chr18"	6490018	6490418	"CMP_KDctrl_peak_5063"
"735"	"chr10"	82432287	82432687	"CMP_KDctrl_peak_1281"
"736"	"chr11"	100436286	100436686	"CMP_KDctrl_peak_2127"
"737"	"chr16"	23314873	23315273	"CMP_KDctrl_peak_4237"
"738"	"chr5"	4530441	4530841	"CMP_KDctrl_peak_7863"
"739"	"chr10"	117907580	117907980	"CMP_KDctrl_peak_1443"
"740"	"chr1"	180248812	180249212	"CMP_KDctrl_peak_781"
"741"	"chr8"	73397234	73397634	"CMP_KDctrl_peak_10064"
"742"	"chr14"	122447200	122447600	"CMP_KDctrl_peak_3732"
"743"	"chr7"	120998922	120999322	"CMP_KDctrl_peak_9615"
"744"	"chr10"	99071670	99072070	"CMP_KDctrl_peak_1387"
"745"	"chr10"	80214370	80214770	"CMP_KDctrl_peak_1256"
"746"	"chr7"	139847790	139848190	"CMP_KDctrl_peak_9755"
"747"	"chr2"	19265945	19266345	"CMP_KDctrl_peak_5703"
"748"	"chr16"	4624709	4625109	"CMP_KDctrl_peak_4137"
"749"	"chr2"	125282046	125282446	"CMP_KDctrl_peak_6131"
"750"	"chr4"	119638987	119639387	"CMP_KDctrl_peak_7527"
"751"	"chr9"	44575623	44576023	"CMP_KDctrl_peak_10508"
"752"	"chr9"	110434876	110435276	"CMP_KDctrl_peak_10863"
"753"	"chr10"	122013648	122014048	"CMP_KDctrl_peak_1478"
"754"	"chr7"	140005261	140005661	"CMP_KDctrl_peak_9758"
"755"	"chr10"	82161833	82162233	"CMP_KDctrl_peak_1277"
"756"	"chr8"	107813232	107813632	"CMP_KDctrl_peak_10200"
"757"	"chr15"	25839767	25840167	"CMP_KDctrl_peak_3775"
"758"	"chr2"	84708675	84709075	"CMP_KDctrl_peak_5992"
"759"	"chr7"	31742209	31742609	"CMP_KDctrl_peak_9267"
"760"	"chr10"	120866386	120866786	"CMP_KDctrl_peak_1469"
"761"	"chr1"	93945337	93945737	"CMP_KDctrl_peak_333"
"762"	"chr16"	65197203	65197603	"CMP_KDctrl_peak_4374"
"763"	"chr4"	114659535	114659935	"CMP_KDctrl_peak_7484"
"764"	"chr18"	82886220	82886620	"CMP_KDctrl_peak_5306"
"765"	"chr5"	139840372	139840772	"CMP_KDctrl_peak_8402"
"766"	"chr7"	106616956	106617356	"CMP_KDctrl_peak_9533"
"767"	"chr1"	36229802	36230202	"CMP_KDctrl_peak_62"
"768"	"chr1"	108599296	108599696	"CMP_KDctrl_peak_399"
"769"	"chr12"	33451733	33452133	"CMP_KDctrl_peak_2393"
"770"	"chr4"	150145672	150146072	"CMP_KDctrl_peak_7782"
"771"	"chr9"	119031984	119032384	"CMP_KDctrl_peak_10915"
"772"	"chr5"	146041314	146041714	"CMP_KDctrl_peak_8445"
